comments,id,likes,text,verified,postUrl,engagement_score
10,18061416520936618,987,Prayers for her family. They must be devastated.,False,https://www.instagram.com/p/DFjN434Nnob/?igsh=MTBsM2lpd2FqZ2t0OQ==,997
3,17850958500350534,468,It’s all so tragic. Prayers for all the families who lost loved ones. 💔,False,https://www.instagram.com/p/DFjN434Nnob/?igsh=MTBsM2lpd2FqZ2t0OQ==,471
2,17933859749991506,21,RIP Cpt. Rebecca M. Lobach 🙏🙏🇺🇸,False,https://www.instagram.com/p/DFjN434Nnob/?igsh=MTBsM2lpd2FqZ2t0OQ==,23
36,17921031027040866,1078,"Someone’s daughter, sister and friend. RIP (prayers of peace to your family)",False,https://www.instagram.com/p/DFjN434Nnob/?igsh=MTBsM2lpd2FqZ2t0OQ==,1114
0,17936829614968793,137,"I pray for Rebecca, her family, and all involved in this tragedy….. 🙏 😢 ❤️",False,https://www.instagram.com/p/DFjN434Nnob/?igsh=MTBsM2lpd2FqZ2t0OQ==,137
47,18126373093409205,199,"I can’t fathom the grief this family is going through and to think they believe MAGA would attack her memory and sacrifice.  If I may offer my deepest condolences to her family, friends, and unit.  May we all remember her service and sacrifice with respect, honor, and grace.  May she rest in peace.  I hope God may ease the pain of her loss.",False,https://www.instagram.com/p/DFjN434Nnob/?igsh=MTBsM2lpd2FqZ2t0OQ==,246
39,18055867726858892,835,Capt  Lobach  You gave the ultimate sacrifice Praying for all who loved you and families of the other lives lost 🇺🇸,False,https://www.instagram.com/p/DFjN434Nnob/?igsh=MTBsM2lpd2FqZ2t0OQ==,874
9,18071757931685434,192,Thank you for your service! My condolences to her family and to all who lost loved ones! Rest in peace to all lost. Godspeed!,False,https://www.instagram.com/p/DFjN434Nnob/?igsh=MTBsM2lpd2FqZ2t0OQ==,201
31,18022983356381470,113,Well well well,False,https://www.instagram.com/p/DFjN434Nnob/?igsh=MTBsM2lpd2FqZ2t0OQ==,144
13,17915352543057590,319,"My son was in the same squadron as her until a few weeks ago when he transferred out prior to his deployment. He was very close to all three of the soldiers onboard the Blackhawk, but he and his wife were particularly close to Rebecca. He told me she was a great pilot, soldier, and friend. He spoke of her glowingly. God rest her and keep her and her family.",False,https://www.instagram.com/p/DFjN434Nnob/?igsh=MTBsM2lpd2FqZ2t0OQ==,332
4,18105626311482433,180,"Look at that beautiful face, and feel sorrow that her life was lost. Speculation based on a need to blame, especially without facts, contributes nothing positive or of value.",False,https://www.instagram.com/p/DFjN434Nnob/?igsh=MTBsM2lpd2FqZ2t0OQ==,184
0,18086238826559762,2,"There were 3 people on the helicopter.  The pilot in command was an instructor with over 1,000 hours.  None of them saw the jet aircraft in front of them?",False,https://www.instagram.com/p/DFjN434Nnob/?igsh=MTBsM2lpd2FqZ2t0OQ==,2
44,18070703296699830,126,Took them long enough after we knew the identities of the other two crew members and all those lost on the airplane immediately. I wonder why they waited so long… what are they hiding/covering up?,False,https://www.instagram.com/p/DFjN434Nnob/?igsh=MTBsM2lpd2FqZ2t0OQ==,170
48,18072662236667648,166,"For those assuming people who voted for Trump would blame this pilot because of her sex or race is the most ignorant thing possible. It’s as bad if not worse than Biden and Hillary calling MAGA supporters terrorists,  ignorant,  and deplorables …. But I digress. We won’t and do not think anything other than how sad and horrific for her, the Army, for service men and women in all branches to have lost three of their fellow soldiers in such a horrible accident! I pray for her family and friends as much as I pray for ALL the victims of this accident! It is just another very divisive tactic used at a very inappropriate moment in history. Do better people! Hug your loved ones tonight and say you love them. Life is precious and short! Be Kind Always! You never know the burdens others carry.",False,https://www.instagram.com/p/DFjN434Nnob/?igsh=MTBsM2lpd2FqZ2t0OQ==,214
